Experiment,Drug,IoU,global_weight_factor,dfs_penalty,bonus_exp,isi_floor,decay_factor,mode
Exp1_StrongDistinction,DCP11343,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,DCP11343,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,DCP11343,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP11343,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,DCP11343,0.42857142857142855,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,DCP11343,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB1482,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB1482,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB1482,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB1482,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB1482,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB1482,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB1482,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB1482,0.8181818181818182,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB5184,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB5184,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB5184,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB5184,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB5184,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB5184,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB5184,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB5184,0.6666666666666666,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB2834,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB2834,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB2834,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB2834,0.25,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB2834,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB2834,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB2834,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB2834,0.5384615384615384,1.0,0.2,1.8,1.0,0.9,normal
